Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
10000,1.4189403,0.00029701367,15.924598439174822,52.854838709677416,-0.082777,15.795690670690021,5.273725,0.30652496
20000,1.4189131,0.00029101013,16.00253703269372,51.87301587301587,0.38471958,16.149852857387884,4.969803,0.29643586
30000,1.4189566,0.00028500406,17.189901819759946,48.122549019607845,0.76106095,17.16038829088211,3.6484783,0.32781184
40000,1.4189149,0.00027900873,17.19018201131443,52.03191489361702,0.81807625,17.199489408351006,3.158376,0.28418154
50000,1.4187945,0.00027301357,17.101057152109195,50.333333333333336,0.89924,17.148926664927068,3.6869648,0.31636113
60000,1.4184471,0.00026700916,17.848248452803276,49.535353535353536,1.0479267,17.829130028233383,3.3394284,0.30655366
70000,1.4178429,0.00026100385,18.36216922251678,50.608247422680414,1.0046825,18.36041266125502,3.3671694,0.31901392
80000,1.4173582,0.00025499714,18.289515070579842,47.81951219512195,1.0772356,18.246112116371712,4.0923133,0.31489843
90000,1.4168983,0.00024900583,18.5646051259492,46.89903846153846,1.1979275,18.547920104402763,3.4607916,0.35716367
100000,1.4163827,0.00024300559,19.151749046989295,44.60454545454545,1.3065381,19.20648510022597,4.6866813,0.36638105
110000,1.4159656,0.00023699013,20.229033002675315,47.1875,1.3210354,20.191133136932667,3.7847836,0.38374463
120000,1.41552,0.00023099878,20.681800892185493,46.82211538461539,1.4337404,20.672674890894157,4.1077747,0.3539952
130000,1.4151589,0.00022501376,20.1775983182892,44.662100456621005,1.550644,20.227185489652364,4.629165,0.36788014
140000,1.4145371,0.00021901337,22.008612104578752,47.58252427184466,1.5753692,21.969028776131786,4.167673,0.36674643
150000,1.4141262,0.0002130096,21.07965820697806,44.65296803652968,1.6573701,21.053600184993655,4.284257,0.39321738
160000,1.4135879,0.00020700457,21.056408792367545,44.96788990825688,1.7426012,21.064134529834494,4.485565,0.3465941
170000,1.4130622,0.00020099412,22.842920714962062,44.71689497716895,1.7881329,22.71117636275618,5.160127,0.38407716
180000,1.4127386,0.00019499418,22.333872335043466,41.30508474576271,1.9038695,22.460693064887646,5.1892147,0.4353577
190000,1.4124193,0.00018899988,22.666109355604604,41.73076923076923,1.8695567,22.704944451649983,6.0457706,0.44281346
200000,1.4121759,0.00018299253,22.51383535622006,41.29957805907173,2.0041857,22.452048901264174,4.9241457,0.3830287
210000,1.4119579,0.0001769969,22.601368836650604,40.66527196652719,2.0071123,22.63142503953878,5.2721267,0.4237528
220000,1.4116435,0.00017100522,23.703738785899947,41.62127659574468,2.0820525,23.700199330106695,5.6733675,0.45249304
230000,1.4112138,0.00016499984,24.469494215527234,42.307359307359306,2.2120981,24.457946744316068,5.667552,0.4273525
240000,1.4109646,0.00015897675,23.964173368097825,40.44444444444444,2.2560086,23.855755511625315,5.972228,0.42311442
250000,1.4106557,0.00015297385,24.046511290008947,40.7563025210084,2.317934,23.9874234439946,5.6442223,0.42682797
260000,1.4104824,0.0001469972,24.036754745616832,39.08433734939759,2.3783891,24.135978662345305,5.905186,0.41582018
270000,1.4102837,0.0001410014,24.224584036748094,39.844897959183676,2.4028382,24.290832153631715,5.9194126,0.4204499
280000,1.4100434,0.00013499321,24.93279947856372,40.417355371900825,2.3824983,24.849488120433712,6.044145,0.43838874
290000,1.4099016,0.00012899913,24.686665516871916,39.29554655870445,2.4438372,24.76357231062916,6.103427,0.43731797
300000,1.4098359,0.00012301236,24.626603790272206,38.533596837944664,2.5038562,24.632721173433445,5.6653666,0.4170918
310000,1.4096574,0.000117011135,24.239986651719494,38.219607843137254,2.4390538,24.261799651501224,6.1844187,0.44844282
320000,1.4094949,0.000111007175,24.234025071112026,37.20992366412214,2.532817,24.17301604947971,6.5106807,0.42046347
330000,1.4092834,0.00010500104,24.669098482244408,38.11328125,2.5167654,24.533896669745445,6.260763,0.42941472
340000,1.4090044,9.898776e-05,24.910804549828754,38.1796875,2.5140972,24.98515098914504,6.4178915,0.40555423
350000,1.4087473,9.2987e-05,24.64621724592258,37.1992337164751,2.5006304,24.734074329507763,6.8337975,0.41297537
360000,1.4084452,8.699636e-05,24.715562560579137,38.21568627450981,2.5119655,24.723644724079207,6.4803143,0.41767523
370000,1.4082928,8.099823e-05,23.95384909699869,35.86346863468635,2.557765,23.954512610206745,6.5549173,0.38743383
380000,1.4081281,7.500701e-05,24.751343781255855,38.0078125,2.4945376,24.74920915812254,6.4573693,0.42335793
390000,1.4080162,6.9010064e-05,24.12527409143364,35.62637362637363,2.5049736,24.12894407908122,6.706509,0.42597252
400000,1.4078382,6.3005886e-05,24.32695693441814,36.65413533834587,2.4573443,24.338590973301937,6.919222,0.42190313
410000,1.4077326,5.7002726e-05,25.29791637144791,38.21176470588235,2.4567168,25.23831793841194,6.9775305,0.40068233
420000,1.407696,5.1004106e-05,24.313620063738632,36.28731343283582,2.5274198,24.364196086997417,7.0833607,0.42782003
430000,1.407651,4.499545e-05,24.731176839776424,36.44776119402985,2.4894264,24.661696149342095,7.248499,0.42939642
440000,1.4076394,3.8998263e-05,24.867197536679946,36.70454545454545,2.4759998,24.86152071302587,7.4967995,0.4202842
450000,1.4076169,3.3007644e-05,25.173670710621124,37.37547892720306,2.4045234,25.243604829941674,7.3646975,0.41125646
460000,1.4075633,2.7006496e-05,25.134745851255094,36.97338403041825,2.4262168,25.158898103373133,7.7166142,0.4217772
470000,1.4075408,2.100734e-05,25.553475236767387,37.656370656370655,2.3929915,25.53244231382392,7.7312236,0.4188863
480000,1.4075131,1.5005649e-05,24.957892917934807,36.70188679245283,2.4349625,24.957474258710754,7.4545,0.4527576
490000,1.4074913,8.999326e-06,24.89434068488864,36.70676691729323,2.3993783,24.800764908467915,7.645791,0.44269213
500000,1.4074812,2.9955104e-06,24.339130993279195,35.56043956043956,2.4027078,24.426365251506205,7.794688,0.42658967
