Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
150000,1.1104169,54.591434,0.16430876,1.4171402,0.00029805003,574.6250079416352,4495.0,574.6250133514404
180000,1.3855903,89.29367,0.14503187,1.4172307,0.000297525,None,None,None
210000,2.0411189,106.07691,0.16009124,1.4171684,0.00029707508,None,None,None
240000,2.879086,136.69522,0.15687862,1.4168446,0.00029662502,None,None,None
270000,4.305768,130.00618,0.17068353,1.416886,0.000296175,2121.6641384391273,4496.0,2106.145718804721
300000,4.7303033,None,None,1.416886,0.00029594958,None,None,2571.6981811523438
330000,5.7151084,185.5815,0.14774667,1.4168545,0.00029549957,None,None,None
360000,7.4762335,220.243,0.17037845,1.4167402,0.00029504954,None,None,None
390000,9.709571,218.8615,0.16447277,1.4163921,0.00029459962,None,None,None
420000,11.246818,250.81528,0.16582207,1.4159167,0.00029399936,3585.0837073152234,4496.0,3585.083708190918
450000,11.681537,260.44128,0.1347828,1.4156417,0.00029347418,None,None,None
480000,13.295055,284.86844,0.14653832,1.415687,0.00029302412,None,None,None
510000,14.637936,274.1146,0.14931695,1.4151409,0.00029257408,None,None,None
540000,15.693447,269.6113,0.15220883,1.414792,0.00029212414,4208.253795275049,4496.0,4209.2698332687905
570000,15.7221985,None,None,1.4147918,0.00029189867,None,None,4178.788513183594
600000,16.79998,293.58212,0.15348275,1.4145706,0.0002914486,None,None,None
630000,18.085325,374.84058,0.1450208,1.414624,0.0002909987,None,None,None
660000,19.352262,376.52548,0.16023073,1.4147432,0.0002905487,None,None,None
690000,20.300499,388.7358,0.15229525,1.4144204,0.00028994845,5085.356188115965,4496.0,5085.356214396159
720000,20.642778,374.3119,0.13609752,1.4141921,0.00028942322,None,None,None
750000,21.466908,382.14658,0.16686174,1.4138622,0.00028897315,None,None,None
780000,22.509378,396.64093,0.14098032,1.4134514,0.00028852327,None,None,None
810000,23.468088,386.58017,0.14782357,1.4130528,0.0002880732,5269.28356328425,4496.0,5266.619717301994
840000,23.768064,None,None,1.4130528,0.00028784777,None,None,5346.534912109375
870000,24.549538,427.4539,0.1299649,1.4126071,0.00028739774,None,None,None
900000,25.408047,480.0599,0.13686554,1.4122015,0.00028694776,None,None,None
930000,26.213657,457.76407,0.12822382,1.4120408,0.0002864977,None,None,None
960000,26.981655,470.6178,0.1675569,1.4117012,0.00028589758,5857.6518554576305,4496.0,5857.651871236166
990000,27.34202,482.7992,0.11995305,1.4114854,0.0002853723,None,None,None
1020000,28.065607,492.6542,0.15818983,1.4111305,0.0002849223,None,None,None
1050000,28.803688,477.2721,0.16839308,1.4109765,0.00028447228,None,None,None
1080000,29.708597,470.3423,0.16702797,1.4107854,0.00028402227,5982.819227322905,4496.0,5971.833519245016
1110000,29.993795,None,None,1.4107856,0.0002837968,None,None,6301.405578613281
1140000,30.662298,528.49097,0.14508258,1.4104233,0.0002833469,None,None,None
1170000,31.411211,617.5066,0.13578102,1.410207,0.0002828969,None,None,None
1200000,32.182823,641.96716,0.13927855,1.4096375,0.00028244688,None,None,None
1230000,33.0412,628.3897,0.15941589,1.40916,0.00028184665,6865.535242647297,4496.0,6865.535247802734
1260000,33.422276,606.94,0.145722,1.4087555,0.00028132138,None,None,None
1290000,34.21815,641.3442,0.1362289,1.4084623,0.00028087146,None,None,None
1320000,35.01968,674.89667,0.13688853,1.4080322,0.0002804214,None,None,None
1350000,35.97622,668.6523,0.15847324,1.4078715,0.00027997143,7096.632542370923,4496.0,7101.00251506937
1380000,36.27009,None,None,1.4078716,0.000279746,None,None,6969.904052734375
1410000,36.98392,689.2999,0.1385943,1.407481,0.00027929601,None,None,None
1440000,37.79613,764.3988,0.14082411,1.406821,0.00027884595,None,None,None
1470000,38.612625,789.71466,0.14022575,1.4066489,0.000278396,None,None,None
1500000,39.420425,781.0041,0.14711212,1.4062651,0.00027779574,7731.227845129014,4496.0,7731.227840169271
1530000,39.775368,772.47095,0.12963116,1.4058998,0.00027727053,None,None,None
1560000,40.518375,820.3203,0.14414357,1.4052011,0.00027682047,None,None,None
1590000,41.286156,826.78143,0.13636231,1.4045414,0.00027637053,None,None,None
1620000,42.191105,842.4867,0.14488041,1.4040754,0.00027592055,8078.042828652441,4496.0,8077.4548823915675
1650000,42.45843,None,None,1.4040755,0.00027569503,None,None,8095.0943603515625
1680000,43.146736,866.3079,0.11408909,1.4034493,0.00027524514,None,None,None
1710000,43.897102,926.3308,0.14305292,1.4031017,0.00027479508,None,None,None
1740000,44.65391,941.8491,0.14013681,1.4024526,0.00027434508,None,None,None
1770000,45.409863,953.60376,0.14072332,1.4020075,0.00027374487,8603.61978493305,4496.0,8603.619789632161
1800000,45.735573,933.99255,0.11107275,1.4015845,0.00027321957,None,None,None
1830000,46.42847,1001.7204,0.14366706,1.4010719,0.00027276966,None,None,None
1860000,47.164207,1041.6011,0.14416306,1.400395,0.00027231962,None,None,None
1890000,48.025364,1014.7315,0.13720387,1.3998718,0.00027186962,8960.338572897,4496.0,8951.870712806438
1920000,48.277416,None,None,1.3998718,0.0002716442,None,None,9205.906372070312
1950000,48.903465,994.6128,0.11681025,1.3993728,0.00027119415,None,None,None
1980000,49.60519,1060.0529,0.13940328,1.3990022,0.00027074415,None,None,None
2010000,50.30883,1075.3739,0.15132573,1.3984507,0.0002702942,None,None,None
2040000,51.01173,1073.3004,0.1356733,1.3982271,0.000269694,9229.625208403357,4496.0,9229.625185139974
2070000,51.32028,1050.5563,0.118247226,1.3979651,0.00026916873,None,None,None
2100000,51.98549,1107.3591,0.14653832,1.3974783,0.00026871872,None,None,None
2130000,52.6949,1127.2059,0.14728728,1.3969172,0.00026826866,None,None,None
2160000,53.52129,1133.1353,0.1441786,1.3961374,0.00026781874,9510.67827780644,4496.0,9505.01693830819
2190000,53.76368,1116.9164,0.12686032,1.3960947,0.0002675363,-85.4609968662262,144.0,4794.699127197266
2220000,54.360985,1206.872,0.14719373,1.3957363,0.000267078,None,None,None
2250000,55.041527,1213.9604,0.14271115,1.3952656,0.00026662805,None,None,None
2280000,55.72998,1217.8502,0.1419263,1.3945994,0.00026617802,None,None,None
2310000,56.406223,None,None,1.3939779,0.00026562563,9882.277180452149,4495.966666666666,9882.277180989584
2340000,56.71417,1170.5437,0.11867006,1.3933274,0.00026511782,None,None,None
2370000,57.354164,1231.5233,0.13933915,1.39308,0.00026466782,None,None,None
2400000,58.018997,1257.2195,0.14189194,1.3921849,0.00026421784,None,None,None
2430000,58.792606,1253.4373,0.14420603,1.3913841,0.00026376994,10066.017008794119,4496.0,10056.420266287667
2460000,59.01694,1192.4551,0.12678307,1.3913609,0.00026348644,10510.424024105072,4496.0,10422.574829101562
2490000,59.609997,1233.092,0.14079583,1.3911142,0.00026302758,None,None,None
2520000,60.243473,1223.216,0.14729835,1.390516,0.00026257758,None,None,None
2550000,60.874626,1226.0388,0.14509434,1.3898528,0.00026212758,None,None,None
2580000,61.49526,None,None,1.3891504,0.00026157487,10093.684015603985,4496.0,10093.684033203124
2610000,61.824238,1220.454,0.12549444,1.3887464,0.00026106695,None,None,None
2640000,62.5156,1286.456,0.14066067,1.3883102,0.0002606169,None,None,None
2670000,63.190514,1294.1871,0.1410062,1.387832,0.0002601669,None,None,None
2700000,63.919674,1306.6401,0.14254212,1.3872001,0.00025971903,10373.57260406756,4496.0,10378.116463797433
2730000,64.13117,1246.8761,0.11898939,1.3871542,0.00025943553,10593.106532156467,4496.0,10419.726013183594
2760000,64.771416,1292.6934,0.15130688,1.3867607,0.00025897665,None,None,None
2790000,65.4641,1309.9011,0.1459745,1.3862262,0.00025852668,None,None,None
2820000,66.1654,1316.7933,0.14350134,1.3856213,0.0002580767,None,None,None
2850000,66.86212,None,None,1.3851433,0.00025752396,10470.421057351989,4496.0,10470.42108968099
2880000,67.16784,1270.449,0.113544345,1.3849062,0.000257016,None,None,None
2910000,67.81276,1314.4347,0.14245328,1.3843215,0.00025656598,None,None,None
2940000,68.49141,1328.3789,0.14156963,1.3839144,0.00025611604,None,None,None
2970000,69.27991,1330.5293,0.14200194,1.3832175,0.0002556682,10618.643094841776,4496.0,10619.018794468471
3000000,69.507904,1288.1268,0.114227965,1.3831578,0.00025538463,10473.660063028336,4496.0,10540.891052246094
3030000,70.11042,1334.6127,0.1417699,1.3826469,0.00025492578,None,None,None
3060000,70.76388,1333.9329,0.14322874,1.3819903,0.00025447577,None,None,None
3090000,71.42383,1332.9304,0.14133309,1.3814412,0.00025402583,None,None,None
3120000,72.07628,None,None,1.3810114,0.0002534731,10701.194740329187,4496.0,10701.19473876953
3150000,72.36658,1294.589,0.11047988,1.3803993,0.00025296514,None,None,None
3180000,72.97832,1351.239,0.14033903,1.3799922,0.0002525151,None,None,None
3210000,73.623215,1368.1438,0.14421992,1.3795315,0.00025206513,None,None,None
3240000,74.37698,1368.5396,0.1486365,1.3789442,0.0002516173,10842.194348100958,4496.0,10847.741128104073
3270000,74.59498,1319.0964,0.10685137,1.3789078,0.0002513337,11145.351264357567,4496.0,10916.118225097656
3300000,75.16884,1386.8975,0.14385886,1.3785799,0.00025087484,None,None,None
3330000,75.80003,1378.5294,0.1430629,1.3780785,0.00025042493,None,None,None
3360000,76.43776,1379.8798,0.14351492,1.377683,0.00024997487,None,None,None
3390000,77.07235,None,None,1.3773295,0.00024942216,10966.256859449546,4496.0,10966.25692545573
3420000,77.35069,1338.2087,0.10667357,1.3772659,0.0002489142,None,None,None
3450000,77.93896,1396.4714,0.14264171,1.3766764,0.0002484642,None,None,None
3480000,78.558846,1401.2086,0.14304441,1.3760059,0.00024801423,None,None,None
3510000,79.279526,1390.8583,0.14616159,1.3752744,0.0002475664,11068.904942087058,4496.0,11075.616433279854
