Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
6000,0.057760864,1.4189385,0.00029712002,-2109.776256014593,4495.0,-2109.7762298583984
8000,0.08242291,1.4189383,0.0002958,None,None,None
10000,0.11524424,1.4189385,0.00029469977,-2191.0087537076324,4496.0,-2191.0087280273438
12000,0.09417489,1.4189256,0.0002936994,None,None,None
14000,-0.8431284,1.418913,0.00029231914,-2063.5139397177845,4496.0,-2063.513900756836
16000,-0.82727766,1.4189131,0.0002909988,None,None,None
18000,-0.86146414,1.4189131,0.00028989857,-2205.6097568152472,4496.0,None
20000,-0.85778916,1.4189131,0.0002888982,None,None,-2205.6097869873047
22000,-0.781141,1.4189131,0.0002876982,None,None,None
24000,-1.2059158,1.4186757,0.00028631793,-2007.983094144147,4496.0,-2007.9830627441406
26000,-1.3609685,1.4186758,0.0002849976,None,None,None
28000,-1.3200166,1.4186755,0.00028389736,-1775.7906476047356,4496.0,-1775.7907104492188
30000,-1.4727054,1.4186758,0.000282897,None,None,None
32000,-1.4150605,1.4186757,0.00028151672,-1814.1132780862972,4496.0,-1814.113265991211
34000,-1.6080894,1.4186898,0.00028019643,None,None,None
36000,-1.8400544,1.41869,0.00027909616,-1738.8255546422442,4496.0,None
38000,-1.8667312,1.4186898,0.00027809583,None,None,-1738.8256225585938
40000,-1.7971202,1.4186898,0.00027689582,None,None,None
42000,-1.865605,1.4186898,0.00027551554,-1753.412069332786,4496.0,-1753.4120483398438
44000,-1.7482629,1.418567,0.00027419522,None,None,None
46000,-2.0813098,1.418444,0.00027309495,-1554.8886684444733,4496.0,-1554.8886260986328
48000,-2.1677022,1.4184439,0.00027209462,None,None,None
50000,-2.137172,1.4184442,0.00027071434,-1455.0278823827393,4496.0,-1455.0279235839844
52000,-2.1968908,1.4184439,0.00026939402,None,None,None
54000,-2.1451058,1.418444,0.00026829372,-1610.7879831679165,4496.0,None
56000,-2.2681732,1.4184138,0.00026729342,None,None,-1610.7879638671875
58000,-2.3722358,1.4184136,0.0002660934,None,None,None
60000,-2.3929126,1.4184138,0.00026487064,-1299.1467168084346,4047.0,-1299.1466979980469
62000,-2.4486074,1.4184136,0.00026366222,None,None,None
64000,-2.4371746,1.418414,0.00026228224,-1514.2628833390772,4495.0,-1514.2628479003906
66000,-2.4148264,1.418209,0.00026096226,None,None,None
68000,-2.5244474,1.418209,0.000259862,-1481.011904113926,4496.0,-1481.0119323730469
70000,-2.4942565,1.418209,0.00025886166,None,None,None
72000,-2.4896095,1.4182091,0.0002574251,-1244.890623612795,3709.0,-1244.890609741211
74000,-2.4816556,1.4182091,0.0002560555,-1232.2832336649299,3861.0,None
76000,-2.5836527,1.4178631,0.0002549148,None,None,-1232.283203125
78000,-2.6054692,1.4178631,0.0002537148,None,None,None
80000,-2.6638417,1.417863,0.00025261482,-1094.8329093279317,4495.0,-1094.8328857421875
82000,-2.624336,1.4178631,0.0002516148,None,None,None
84000,-2.5439942,1.4178631,0.00025023456,-1207.2616198784672,4496.0,-1207.2616424560547
86000,-2.6808405,1.417795,0.0002489142,None,None,None
88000,-2.6384268,1.4177265,0.00024781396,-1043.8489722590894,4496.0,None
90000,-2.49045,1.4177265,0.00024681364,None,None,-1043.8489837646484
92000,-2.5448546,1.4177265,0.00024561363,None,None,None
94000,-2.4962957,1.4177265,0.00024423332,-1058.8497167839669,4496.0,-1058.8497848510742
96000,-2.5472648,1.4177265,0.00024291304,None,None,None
98000,-2.561503,1.41761,0.00024181277,-1125.5080335703678,4496.0,-1125.5080261230469
100000,-2.607932,1.41761,0.00024081244,None,None,None
102000,-2.5570943,1.4176099,0.00023943216,-1037.431242544204,4496.0,-1037.4312896728516
104000,-2.4667807,1.41761,0.00023811184,None,None,None
106000,-2.4394858,1.4176099,0.00023701155,-1135.77708737785,4496.0,None
108000,-2.5823452,1.417511,0.00023601124,None,None,-1135.777084350586
110000,-2.3756733,1.4174119,0.00023481123,None,None,None
112000,-2.4105334,1.4174119,0.00023343095,-972.3835522215813,4496.0,-972.3835601806641
114000,-2.4314134,1.4174119,0.00023211063,None,None,None
116000,-2.427864,1.4174119,0.00023101037,-1180.0464948916342,4496.0,-1180.0464782714844
118000,-2.3499403,1.4174119,0.00023001003,None,None,None
120000,-2.240935,1.417221,0.00022862974,-681.7532615596429,4496.0,-681.7532577514648
122000,-2.3950067,1.417221,0.00022730943,None,None,None
124000,-2.4446669,1.4172208,0.00022620916,-1043.1333051715046,4496.0,None
126000,-2.358794,1.417221,0.00022520882,None,None,-1043.13330078125
128000,-2.284739,1.417221,0.00022400882,None,None,None
130000,-2.2931035,1.4169732,0.00022262851,-801.1390388258733,4496.0,-801.1390380859375
132000,-2.3079357,1.4169112,0.00022141391,-444.29921421408653,3475.0,None
134000,-2.2658346,1.4169114,0.00022042087,None,None,-444.29920959472656
136000,-2.2375932,1.4169115,0.00021922086,None,None,None
138000,-2.3189738,1.4169111,0.00021784086,-798.5517937035765,4495.0,-798.5517768859863
140000,-2.2901502,1.4168851,0.00021652084,None,None,None
142000,-2.1767685,1.4168589,0.00021542057,-955.474405975081,4496.0,-955.4744186401367
144000,-2.1217961,1.4168588,0.00021442024,None,None,None
146000,-2.0192013,1.4168588,0.00021303997,-426.60827495972626,4496.0,-426.60828590393066
148000,-2.1173327,1.4168588,0.00021171966,None,None,None
150000,-2.108306,1.4168588,0.00021061934,-946.6503679063171,4496.0,None
152000,-1.9876214,1.4164927,0.00020961906,None,None,-946.6503601074219
154000,-1.9423889,1.4164927,0.000208419,None,None,None
156000,-1.9891657,1.4164928,0.00020703874,-650.3923681229353,4496.0,-650.3923645019531
158000,-2.0441175,1.4164927,0.00020571846,None,None,None
160000,-2.0617552,1.4164928,0.00020461818,-711.8497181986459,4496.0,-711.8497009277344
162000,-2.019374,1.416332,0.00020361788,None,None,None
164000,-1.6814381,1.4161712,0.00020223756,-303.1048005409539,4496.0,-303.1048011779785
166000,-1.9450792,1.4161714,0.0002009173,None,None,None
168000,-1.9944459,1.4161711,0.00019981699,-177.63135262019932,4496.0,None
170000,-1.9281663,1.4161713,0.0001988167,None,None,-177.63136100769043
172000,-1.6270393,1.4161714,0.00019761668,None,None,None
174000,-1.6018747,1.4158392,0.00019623636,-333.49677334120497,4496.0,-333.4967632293701
176000,-1.6586832,1.4158388,0.00019491608,None,None,None
178000,-1.5617578,1.4158391,0.00019381578,62.420188184827566,4496.0,62.42017650604248
180000,-1.5027704,1.4158391,0.00019263316,-378.3459463454783,2505.0,-378.345947265625
182000,-1.6463488,1.4158388,0.00019131065,None,None,None
184000,-1.6616838,1.4155118,0.00019021066,-496.93137361854315,4495.0,None
186000,-1.4218249,1.415512,0.00018921065,None,None,-496.9313793182373
188000,-1.4580245,1.415512,0.00018801064,None,None,None
190000,-1.4652444,1.415512,0.00018663036,91.95911841560155,4496.0,91.95911026000977
192000,-1.5555631,1.415512,0.00018531004,None,None,None
194000,-1.6055541,1.4153252,0.00018420978,-325.990835895529,4496.0,-325.99084854125977
196000,-1.045752,1.4152316,0.00018320944,None,None,None
198000,-1.1162485,1.4152316,0.00018182915,-538.508871034719,4496.0,-538.5088634490967
200000,-1.3231324,1.4152316,0.00018050885,None,None,None
202000,-1.3978648,1.4152316,0.00017940858,-374.23177792550996,4496.0,None
204000,-1.357707,1.4152316,0.00017840824,None,None,-374.23176765441895
206000,-1.1217477,1.415072,0.00017720825,None,None,None
208000,-0.99449617,1.4150723,0.00017582795,145.89225113764405,4496.0,145.89224910736084
210000,-0.9534485,1.415072,0.00017450762,None,None,None
212000,-1.1052599,1.4150722,0.00017340739,-463.8524893526919,4496.0,-463.8524932861328
214000,-1.031985,1.415072,0.00017240703,None,None,None
216000,-0.9735422,1.4150198,0.00017102675,-208.95840278733522,4496.0,-208.9583969116211
218000,-1.1177831,1.4149845,0.00016970749,-58.343194209970534,2990.0,None
220000,-0.93166125,1.4149843,0.00016851063,None,None,-58.343177795410156
222000,-0.81185824,1.4149843,0.00016731066,None,None,None
224000,-0.7938105,1.4149846,0.00016621067,141.44339671218768,4495.0,141.4433937072754
226000,-0.9630772,1.4149843,0.00016521067,None,None,None
228000,-0.7502591,1.4147235,0.00016383038,-95.21329867467284,4496.0,-95.21330833435059
230000,-0.6826279,1.4147238,0.00016251007,None,None,None
232000,-0.7420497,1.4147235,0.0001614098,-41.86233564536087,4496.0,None
234000,-0.69075704,1.4147238,0.00016040947,None,None,-41.86233997344971
236000,-0.68844616,1.4147238,0.00015920946,None,None,None
238000,-0.6762467,1.4145204,0.00015782918,235.34685328695923,4496.0,235.3468475341797
240000,-0.52359676,1.4144694,0.00015650886,None,None,None
242000,-0.5683305,1.4144695,0.0001554086,320.9873617454432,4496.0,320.9873504638672
244000,-0.54299384,1.4144694,0.00015440826,None,None,None
246000,-0.55352825,1.4144696,0.00015302798,-70.64508713735268,4496.0,-70.64509201049805
248000,-0.51464146,1.4143928,0.00015170766,None,None,None
250000,-0.24484861,1.4143163,0.00015060739,16.965475131291896,4496.0,None
252000,-0.2925247,1.4143163,0.00014960706,None,None,16.965492248535156
