Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
106000,1.41671,0.0002370011,15.910624926288923,65.43333333333334,1.6837819,15.729152043660482
108000,1.416697,0.00023577696,12.917859836987086,58.65714285714286,1.6221122,12.72188915525164
110000,1.4166969,0.00023457383,13.663332193158567,58.53125,1.5365131,13.86193323135376
112000,1.4166968,0.00023339746,16.077764336268107,66.5,1.5463433,15.882056744893392
114000,1.4164672,0.00023222221,13.337607347048246,74.6923076923077,1.5580666,13.56015867453355
116000,1.416422,0.00023103297,14.407155747597034,75.46153846153847,1.5404973,14.497352673457218
118000,1.416422,0.00022982465,14.54863529575282,67.93103448275862,1.6385334,14.103407925572888
120000,1.4164219,0.00022861188,14.042454553147158,54.75,1.6780028,14.501225445005629
122000,1.4161153,0.00022741203,13.915448175743222,61.59375,1.5616968,13.912562608718872
124000,1.4159796,0.00022621358,13.754487727494801,57.411764705882355,1.6876204,13.64443473254933
126000,1.4159797,0.00022498913,14.709206666007187,62.81818181818182,1.7080789,14.41568204128381
128000,1.4159796,0.00022379345,16.10904355406761,76.12,1.6616492,16.166760673522948
130000,1.4159528,0.00022246123,15.363277189433575,94.03571428571429,1.5554254,14.398664951324463
132000,1.4159411,0.0002212343,14.347058503066792,79.17647058823529,1.5939496,16.43001023460837
134000,1.4159411,0.0002201214,16.00227874407062,89.62962962962963,1.6074975,14.356092188093397
136000,1.4159411,0.00021891663,14.860728407278657,93.1875,1.4830866,17.765862464904785
138000,1.4159067,0.00021780754,14.212625760020632,59.90909090909091,1.6769184,13.96608895966501
140000,1.4158251,0.0002165838,15.550439822096978,66.38709677419355,1.7738236,15.321681884027296
142000,1.4158252,0.00021537983,16.625667842626573,77.4,1.7134978,17.042206382751466
144000,1.4158251,0.00021418242,15.011142908595502,61.125,1.71813,14.923897922039032
146000,1.4158001,0.00021301411,15.0602591170205,70.81481481481481,1.6443654,15.399763566476327
148000,1.4156793,0.00021180848,15.801069820920626,67.2,1.6973993,15.543075625101725
150000,1.4156792,0.00021062113,16.425431887740675,85.43478260869566,1.7375332,16.634990443354067
152000,1.4156791,0.0002094073,16.117729583611855,76.07692307692308,1.5603255,15.966238168569712
154000,1.415679,0.00020818082,16.155987035769684,80.23076923076923,1.7645797,16.052151900071365
156000,1.4155681,0.0002069146,15.153626877814531,87.25,1.5216789,14.96619725227356
158000,1.4155647,0.00020576021,18.038007897138595,122.6,1.508898,18.50449930826823
160000,1.4155649,0.00020461442,16.183908694169737,84.27272727272727,1.6122165,16.431937997991387
162000,1.4155649,0.0002034181,15.196390758599005,63.903225806451616,1.7913641,15.15229683537637
164000,1.4155147,0.00020228274,18.047010700492297,117.0,1.842793,17.925761839922735
166000,1.4154632,0.00020105662,18.823154738720724,116.3529411764706,1.6318648,18.23288687537698
168000,1.4154633,0.0001998237,16.689550136526424,84.375,1.6791757,17.097947160402935
170000,1.4154631,0.00019864974,19.738837122917175,139.5,1.4828398,19.646138668060303
172000,1.4154633,0.00019740332,18.774003320270115,117.55555555555556,1.5368582,18.35627375708686
174000,1.4153578,0.00019623736,20.32635249999853,141.6153846153846,1.4234201,21.073769642756535
176000,1.4153578,0.00019512784,20.35501379462389,152.07692307692307,1.5979117,20.54845765920786
178000,1.4153578,0.00019380909,16.147165732582412,66.6,1.7254364,16.022609138488768
180000,1.4153578,0.00019262462,17.82946505985762,106.63157894736842,1.8407476,17.733092257851048
182000,1.415333,0.00019146077,20.271862644415634,155.15384615384616,1.6009988,17.625914573669434
184000,1.4153037,0.00019020066,21.39386094411214,134.8,1.542238,22.981149037679035
186000,1.4153035,0.0001890251,18.471795635297894,116.3125,1.6074609,19.476998031139374
188000,1.4153035,0.00018780968,16.49474451797349,70.60714285714286,1.667201,16.229324442999705
190000,1.4153035,0.0001865799,18.413432908058166,85.92,1.877418,17.60498336791992
192000,1.4152524,0.0001852806,18.656432833183896,96.27272727272727,1.691164,19.255834926258434
194000,1.4152524,0.0001841164,18.25122792306154,71.91304347826087,1.8730811,18.676472207774285
196000,1.4152526,0.0001830084,16.779049240880543,73.74074074074075,1.7261577,16.81978451764142
198000,1.4152524,0.00018186976,18.968895463382495,116.29411764705883,1.7061818,18.585619309369257
200000,1.4152775,0.0001805855,17.797650791704655,87.58333333333333,1.8244195,17.63481092453003
202000,1.4153004,0.00017933914,21.490954098494157,85.91304347826087,2.036219,21.668039404827617
204000,1.4153005,0.00017820137,20.313753376404446,102.05555555555556,1.7899036,20.624900552961563
206000,1.4153006,0.00017700579,17.536752147170212,78.07692307692308,1.8323953,17.273900252122147
208000,1.4152831,0.00017581238,19.122453841425123,92.57142857142857,1.7805799,19.236371539887926
210000,1.4151809,0.00017461348,19.67645366719136,75.1923076923077,2.0735836,19.535191022432766
212000,1.4151808,0.00017342484,20.029186196949173,86.78260869565217,2.0091517,19.91768679411515
214000,1.4151809,0.00017221391,18.784603579342367,100.05,1.633399,19.493840074539186
216000,1.415181,0.00017099781,19.93085602396413,111.73684210526316,1.8423098,18.96848151558324
218000,1.4150699,0.00016980237,20.509096469481786,128.13333333333333,1.7962259,20.985457293192546
220000,1.4150522,0.00016859337,19.195830485473078,77.45833333333333,2.11,19.37708346048991
222000,1.4150519,0.00016738182,19.05336352609671,80.88461538461539,1.9804736,18.798638600569504
224000,1.4150523,0.00016620774,23.227799085900187,115.875,1.9860048,23.571523785591125
226000,1.4150187,0.00016500134,20.357068550019036,102.9047619047619,2.0292554,19.681180863153365
228000,1.4149582,0.00016376616,18.812689615921542,81.77272727272727,1.9030379,19.800993529233065
230000,1.4149582,0.0001626931,23.61344455395426,143.07142857142858,1.982642,23.379005977085658
232000,1.4149584,0.00016143947,20.939964648336172,126.5625,1.8919978,19.991381347179413
234000,1.4149584,0.00016018812,21.353516605885133,85.56521739130434,2.0793614,21.72935722185218
236000,1.4149064,0.00015895511,21.904421327014763,90.79166666666667,2.3588343,21.364450693130493
238000,1.4148922,0.00015775737,20.23477148583957,83.23809523809524,2.1870327,21.168856529962447
240000,1.4148922,0.00015659456,19.59719749035374,63.903225806451616,2.378512,19.436084162804388
242000,1.4148922,0.00015540943,22.59496949315071,77.52,2.3775856,22.151052055358885
244000,1.4148635,0.00015428451,23.774603048339486,125.875,2.3488455,22.60894685983658
246000,1.4148133,0.000153013,21.739332870358513,94.0952380952381,2.0709858,23.368304979233514
248000,1.4148132,0.00015177512,23.454046319310482,80.46153846153847,2.4923196,22.81565394768348
250000,1.4148133,0.00015052778,23.86152078360319,104.05,2.1890817,23.978307247161865
252000,1.4148134,0.0001493585,22.733021092765473,105.41176470588235,2.0540352,23.383038745206946
254000,1.4146113,0.0001482672,25.32820034225782,130.33333333333334,2.3862329,24.757207171122232
256000,1.4145925,0.00014698817,22.148917350769043,81.28,2.1538231,22.262971076965332
258000,1.4145925,0.000145766,23.69467008916231,76.61538461538461,2.5544424,23.56653459255512
260000,1.4145925,0.00014458259,20.92343990891068,69.70370370370371,2.412438,21.404714972884566
262000,1.4144642,0.0001434162,25.934541738846086,90.5909090909091,2.468259,25.87218189239502
264000,1.4143332,0.00014221693,24.37301628043254,81.70833333333333,2.5845385,24.268299142519634
266000,1.4143332,0.00014095176,25.269189384850588,110.36363636363636,2.4245684,23.345578973943535
268000,1.4143332,0.00013960603,26.360892498865724,74.0625,2.7182794,28.488706139957202
270000,1.4143332,0.00013843924,28.092378729156085,165.85714285714286,2.1358702,28.51130800980788
272000,1.4142405,0.00013745036,23.5673635275591,94.28571428571429,2.5984755,23.578950473240443
274000,1.4142406,0.00013623165,25.515978551159304,82.95833333333333,2.6282911,25.40906290213267
276000,1.4142405,0.00013508457,25.805256164073946,131.73333333333332,2.0543144,25.2661008199056
278000,1.4142405,0.00013379694,22.17688826758128,78.8076923076923,2.4852068,22.735502793238712
280000,1.4141651,0.00013260507,25.181097544052385,86.86363636363636,2.5883498,25.128475015813653
282000,1.41412,0.00013140292,23.532364430172102,71.03571428571429,2.620352,23.740071092333114
284000,1.41412,0.00013023525,26.986341907789832,104.10526315789474,2.563551,26.39974473652087
286000,1.41412,0.00012899745,21.581449843011796,61.375,2.7523088,21.96415886282921
288000,1.4140966,0.0001278033,22.62178636149124,73.4074074074074,2.4739916,21.747804500438548
290000,1.4140415,0.00012659586,24.061951349888528,70.42857142857143,2.845204,24.563598905290878
292000,1.4140416,0.00012541453,22.875001470247906,82.625,2.5280426,22.776289145151775
294000,1.4140415,0.00012418779,22.257891008147485,74.0,2.5835795,22.492533295242875
296000,1.4140415,0.00012300945,24.569935031559158,83.26086956521739,2.58691,23.89964613707169
298000,1.414065,0.00012182004,22.55938472197606,76.38461538461539,2.6896312,23.27380022635827
300000,1.4140681,0.000120616634,24.497098500728608,78.04,2.4549465,24.18221706390381
302000,1.4140681,0.0001194276,22.355488369464876,80.92,2.5390747,21.963591003417967
304000,1.4140682,0.000118219905,23.958546164360914,87.72727272727273,2.438423,24.441109787334096
306000,1.4140483,0.00011705256,24.52017229795456,94.47619047619048,2.6903167,24.246382077534992
308000,1.4140321,0.00011577311,26.5067058801651,90.54166666666667,2.642207,26.130892395973206
310000,1.4140321,0.00011454544,23.768506510390175,106.77777777777777,2.2046227,24.840831173790825
312000,1.4140322,0.00011339506,24.900811274262036,112.6470588235294,2.378634,24.00410326789407
314000,1.4140326,0.000112186906,23.260281475690697,75.1923076923077,2.5718572,23.577551108140213
316000,1.4140352,0.000111005604,22.625182763255875,66.10344827586206,2.751919,22.920180616707636
318000,1.414035,0.00010976645,24.65296138698856,92.41666666666667,2.623235,24.009896993637085
320000,1.4140352,0.000108555454,25.23387496670087,84.0,2.642821,25.799981798444474
322000,1.4140352,0.00010740751,24.315769664370098,76.46153846153847,2.6769078,24.24206851078914
324000,1.4139923,0.00010620681,25.29776289810737,81.95833333333333,2.6176324,25.276674270629883
