Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
2000,1.4189382,0.00029943464,11.256052152253687,62.25,0.08139964,11.215709347878732
4000,1.4189383,0.0002982103,12.654579542364393,55.714285714285715,-0.007782036,12.59092424937657
6000,1.4189384,0.00029701655,11.82299568700163,51.44736842105263,-0.00010273468,11.968454486445376
8000,1.4189384,0.00029583767,11.814727814758525,57.88235294117647,-0.004561279,11.483881080851836
10000,1.4188184,0.00029460833,11.517369273232251,48.292682926829265,0.5803858,11.64982359583785
12000,1.4188135,0.00029340436,11.038918276627859,46.42857142857143,0.5910998,11.170224314644223
14000,1.4188136,0.00029219993,12.022361050586444,53.891891891891895,0.6012798,11.741601621782458
16000,1.418821,0.00029099212,11.392841526935268,45.06976744186046,0.65723586,11.637684932974881
18000,1.4188932,0.000289789,11.485147104030702,48.63414634146341,0.92485064,11.271451089440323
20000,1.4188933,0.00028861692,13.056261019905408,65.26666666666667,0.898882,13.200318988164266
22000,1.4188931,0.0002873916,11.691536446935253,51.21052631578947,0.9013264,11.679031058361655
24000,1.418849,0.0002861976,11.310787403583527,48.875,0.93160594,11.432583212852478
26000,1.4186624,0.0002849975,10.405061105887095,43.577777777777776,1.0896317,10.352272023095026
28000,1.4186624,0.00028380164,11.174744827109715,44.906976744186046,1.1467063,11.242790211078733
30000,1.4186624,0.00028261507,10.900588504014872,50.30769230769231,1.0806959,10.849839027111347
32000,1.4185948,0.0002813668,11.882207434146832,55.43589743589744,1.1188284,11.504025337023613
34000,1.4184811,0.00028015635,10.762049468855063,48.77777777777778,1.170257,10.987054586410522
36000,1.4184812,0.00027901464,10.96465962761786,47.926829268292686,1.3070922,10.783438310390565
38000,1.4184812,0.00027781626,12.285070090634482,56.51428571428571,1.2415587,12.577970232282366
40000,1.4183987,0.00027663514,11.306717223412281,52.810810810810814,1.3235649,11.396015760060903
42000,1.418291,0.00027540713,11.765041058000765,52.18421052631579,1.3379921,11.711607217788696
44000,1.418291,0.0002741852,12.267600449231955,51.46153846153846,1.3956194,12.208991014040434
46000,1.4182909,0.00027298645,12.299897566034987,51.62162162162162,1.2783238,12.466114933426315
48000,1.41814,0.0002717964,11.672464934133348,46.80952380952381,1.370279,11.640711523237682
50000,1.4179744,0.00027060206,11.954315501145828,49.666666666666664,1.4073495,11.740903512025492
52000,1.4179744,0.00026940787,12.096581322699786,49.175,1.3947242,12.29720458984375
54000,1.4179744,0.00026821316,13.170775818638504,61.9375,1.395551,13.193128019571304
56000,1.4178537,0.00026701743,13.422147575479288,76.65384615384616,1.3269765,13.41278129357558
58000,1.4177557,0.00026580176,11.2856919108293,48.94871794871795,1.407411,11.228310071505033
60000,1.4177557,0.0002646166,11.607921948035559,55.05555555555556,1.3996862,11.744598163498772
62000,1.4177557,0.0002634628,14.466743343820175,83.33333333333333,1.3177917,14.21539173523585
64000,1.4176816,0.0002622056,13.046980727103449,62.903225806451616,1.3726081,13.124459343571816
66000,1.4176184,0.0002610147,12.775537490844727,55.457142857142856,1.4565026,12.803730964660645
68000,1.4176186,0.0002597864,12.795192686350722,54.55263157894737,1.4839598,12.669144831205669
70000,1.4176184,0.0002585787,13.419773165384928,63.46666666666667,1.4348531,13.38551082611084
72000,1.417543,0.00025741177,12.5847081891128,55.02857142857143,1.5490667,12.663097163609097
74000,1.4174885,0.00025620547,12.578610050181547,55.97222222222222,1.5068836,12.49599179956648
76000,1.4174882,0.00025499685,12.866063152892249,55.25714285714286,1.5333569,12.993431527273996
78000,1.4174883,0.0002538092,14.150677578789848,70.75,1.3616976,14.10935630117144
80000,1.4173905,0.00025262,14.29831349739322,72.33333333333333,1.4286656,14.228076016461408
82000,1.4172637,0.0002513989,14.266202142408916,57.22857142857143,1.4785178,14.289277267456054
84000,1.4172637,0.00025019652,11.671518045820688,50.94736842105263,1.4648257,11.801298969670347
86000,1.4172635,0.00024899805,12.955001652240753,53.486486486486484,1.5707028,12.766999914839461
88000,1.4171402,0.00024781437,14.318334653459747,67.89655172413794,1.5256507,14.499465366889691
90000,1.4170043,0.00024679533,20.06338221207261,251.5,1.5681211,11.60086464881897
92000,1.4170043,0.00024540233,14.517598914412352,78.0,1.5368202,16.406193256378174
94000,1.4170043,0.00024418198,11.849126211471027,51.5,1.4168742,12.271081182691786
96000,1.4170043,0.00024309437,17.335581909332955,146.71428571428572,1.3971584,15.913363252367292
98000,1.4168245,0.00024178787,13.607966121037801,64.83333333333333,1.476303,14.429598967234293
100000,1.4168246,0.00024057463,12.569330573909813,56.19444444444444,1.5614425,12.281164275275337
102000,1.4168245,0.00023938992,13.32800206442674,62.13333333333333,1.4349339,13.374840958913166
104000,1.4168246,0.00023820756,13.680501376137588,60.84848484848485,1.5268048,13.946984406673547
