Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
150000,1.2317178,106.73258,0.13807331,1.4184837,0.00029805003,431.16060470996405,4495.0,431.1606001853943
180000,1.6662669,213.25298,0.13749494,1.41795,0.000297525,None,None,None
210000,2.4811976,265.60602,0.14695995,1.4175968,0.00029707508,None,None,None
240000,3.7765553,312.6151,0.14569134,1.4172062,0.00029662502,None,None,None
270000,5.614652,356.8888,0.1500862,1.4167551,0.000296175,3892.9501644424863,4496.0,3935.9119425806507
300000,6.0960813,None,None,1.416755,0.00029594958,None,None,2647.0588989257812
330000,7.663179,478.56128,0.14394695,1.4166148,0.00029549957,None,None,None
360000,10.431495,514.8075,0.13432544,1.4165472,0.00029504954,None,None,None
390000,13.051073,498.92935,0.14162466,1.4162267,0.00029459962,None,None,None
420000,14.760125,482.14435,0.17444181,1.4161569,0.00029399936,5630.049426758936,4496.0,5630.049405415853
450000,15.241009,562.6512,0.13753532,1.415796,0.00029347418,None,None,None
480000,16.642294,583.1477,0.16189136,1.4157135,0.00029302412,None,None,None
510000,17.848066,564.8893,0.16801304,1.4154676,0.00029257408,None,None,None
540000,19.139359,540.5067,0.18139207,1.4150436,0.00029212414,6165.594065503118,4496.0,6145.405834855705
570000,19.513916,None,None,1.4150436,0.00029189867,None,None,6751.0540771484375
600000,20.429491,678.86066,0.15090488,1.4144875,0.0002914486,None,None,None
630000,21.340775,103822.45,0.10164582,1.4143064,0.00029097399,-21704.721208985895,2055.0,-21704.720947265625
660000,21.527586,558.06195,0.16195028,1.4142859,0.00029052258,None,None,None
690000,22.128284,None,None,1.4140714,0.00028994217,6696.0112465694465,4496.0,6696.01122941642
720000,22.43874,651.5476,0.14346983,1.4135414,0.00028942322,None,None,None
750000,23.06225,633.539,0.16622572,1.4131563,0.00028897278,7334.765261881053,4495.0,7334.765380859375
780000,23.776272,614.86444,0.1772354,1.4128993,0.00028852324,None,None,None
810000,24.59546,664.65814,0.16629304,1.4127495,0.00028795854,6764.907793287397,4496.0,6764.907842175714
840000,24.783735,775.5013,0.10532355,1.4127743,0.00028759756,None,None,None
870000,25.458666,792.8392,0.12471944,1.4127265,0.0002873399,7345.578205212951,4496.0,None
900000,26.173586,782.6177,0.14859577,1.4121816,0.00028692215,None,None,7345.5782470703125
930000,26.872065,824.46625,0.13300663,1.4118836,0.0002864721,None,None,None
960000,27.582903,None,None,1.4116396,0.00028589138,7672.5847338293515,4496.0,7672.584756785425
990000,27.93897,928.8836,0.11572864,1.4112638,0.00028536931,2424.470883037895,1277.0,2424.4708862304688
1020000,28.685432,933.2649,0.1331501,1.4107149,0.00028492184,7836.047108596191,4496.0,7836.0472412109375
1050000,29.388895,896.062,0.15229292,1.4103664,0.00028447233,None,None,None
1080000,30.185778,918.6373,0.12960723,1.4100516,0.00028391136,8193.121435739582,4496.0,8193.121438162667
1110000,30.412245,1011.17847,0.14096284,1.4098551,0.00028361974,8683.220004312694,4495.0,None
1140000,31.15176,1073.1477,0.14825985,1.4093692,0.0002832201,7851.808146607131,4496.0,8267.514099121094
1170000,31.822405,1075.4381,0.14284666,1.4087431,0.00028277177,None,None,None
1200000,32.488605,1091.8047,0.13745813,1.4081483,0.0002823217,None,None,None
1230000,33.12999,None,None,1.4078089,0.0002818116,8961.176221592077,4496.0,8961.176254272461
1260000,33.459305,1197.143,0.11045234,1.4071807,0.00028131928,9239.30858791247,4496.0,9239.308837890625
1290000,34.14827,1187.383,0.14358081,1.4066626,0.00028087097,9308.494893297553,4496.0,9308.494506835938
1320000,34.856003,1223.4993,0.13074377,1.4063003,0.0002804214,None,None,None
1350000,35.660427,1276.0377,0.15062375,1.4057928,0.00027986045,9597.521228353076,4496.0,9597.5211857387
1380000,35.873707,1340.9607,0.12498419,1.4056077,0.00027956886,9944.088044166565,4496.0,None
1410000,36.574604,1357.104,0.13919054,1.4052349,0.0002791692,9751.707139827311,4496.0,9847.897399902344
1440000,37.276443,1397.0537,0.13124116,1.404803,0.0002787209,None,None,None
1470000,37.98299,1433.1426,0.15535073,1.4040481,0.0002782709,None,None,None
1500000,38.660843,None,None,1.403654,0.0002777607,10256.565770380797,4496.0,10256.565774100167
1530000,38.999214,1472.3022,0.10675438,1.4027995,0.00027726844,10327.112879142165,4496.0,10327.113403320312
1560000,39.70274,1483.2391,0.13756344,1.4019982,0.00027682012,10274.953366272151,4496.0,10274.953369140625
1590000,40.417747,1532.5614,0.13206331,1.4016477,0.00027637053,None,None,None
1620000,41.23893,1549.0073,0.13785787,1.4013196,0.00027580955,10690.969929443007,4496.0,10690.969914027623
1650000,41.45825,1650.3131,0.11449675,1.4012935,0.00027551796,10959.569730058312,4496.0,None
1680000,42.166233,1634.196,0.14391686,1.4011602,0.0002751183,11212.180422484875,4496.0,11085.875
1710000,42.85911,1683.1285,0.13178153,1.400762,0.00027466993,None,None,None
1740000,43.572044,1685.13,0.14729446,1.4001626,0.00027422002,None,None,None
1770000,44.248047,None,None,1.3996813,0.00027370983,11246.012328773471,4496.0,11246.012322562081
1800000,44.580025,1748.3062,0.13145965,1.3994484,0.00027321756,11284.939826566726,4496.0,11284.940063476562
1830000,45.294228,1748.9081,0.14149728,1.3989513,0.00027276922,11238.35798567161,4496.0,11238.3583984375
1860000,46.038578,1773.087,0.13580523,1.3983214,0.00027231962,None,None,None
1890000,46.867428,1796.5447,0.14533992,1.3979117,0.00027175868,11633.157155626088,4496.0,11633.157200404576
1920000,47.082096,1839.4644,0.11232154,1.3977052,0.00027146706,11427.95746335201,4496.0,None
1950000,47.769917,1855.4232,0.14064853,1.3972628,0.0002710674,11847.713836193085,4496.0,11637.835998535156
1980000,48.460472,1847.3011,0.13251598,1.3967903,0.0002706191,None,None,None
2010000,49.150166,1849.305,0.16626042,1.3961577,0.00027016908,None,None,None
2040000,49.820187,None,None,1.3957307,0.0002696589,11937.37865205425,4496.0,11937.378644670758
2070000,50.133854,1912.6896,0.12712862,1.3954984,0.00026916666,11916.9572981596,4496.0,11916.957641601562
2100000,50.802574,1882.6066,0.14035895,1.3951815,0.00026871826,12104.872969567776,4496.0,12104.872802734375
2130000,51.4807,1868.4606,0.15355201,1.3948826,0.00026826875,None,None,None
2160000,52.249363,1889.9084,0.14944753,1.3943069,0.00026770774,12090.465444379437,4496.0,12090.465460641044
2190000,52.45009,1975.9285,0.11660536,1.3941807,0.00026741615,12147.989040791988,4496.0,None
2220000,53.107204,1927.098,0.14778128,1.3939556,0.00026701653,12213.758663991466,4496.0,12180.874084472656
2250000,53.75481,1812.088,0.16214654,1.3937241,0.00026656812,None,None,None
2280000,54.47469,1669.5569,0.1892514,1.3932889,0.00026611824,None,None,None
2310000,55.137318,None,None,1.3933065,0.00026560802,11781.464648226784,4496.0,11781.464660644531
2340000,55.46729,1914.5665,0.13862751,1.3931644,0.00026511573,12614.62073546648,4496.0,12614.620727539062
2370000,56.14376,2034.8573,0.13928206,1.3925718,0.00026466735,11519.61478500953,4496.0,11519.61474609375
2400000,56.809105,2022.522,0.17048584,1.3919151,0.0002642178,None,None,None
2430000,57.55979,2055.7852,0.1380186,1.3914661,0.0002636569,12706.27953585876,4496.0,12706.279541015625
2460000,57.754272,2081.891,0.1134618,1.3913949,0.00026336522,12737.155713558197,4496.0,None
2490000,58.388935,2071.606,0.135185,1.3911437,0.00026296556,12608.655133128166,4496.0,12672.905517578125
2520000,59.02684,2079.2576,0.13594392,1.3906503,0.00026251728,None,None,None
2550000,59.670914,2092.4106,0.14570704,1.3902115,0.00026206727,None,None,None
2580000,60.27731,None,None,1.3899943,0.00026155685,12051.000747794607,4341.6551724137935,12051.000774515087
2610000,60.408077,24792.549,0.040772542,1.3898927,0.00026106482,12812.401620030403,4496.0,12812.40185546875
2640000,60.889957,2110.0337,0.13674133,1.3896005,0.00026061648,13030.73455274105,4496.0,13030.734741210938
2670000,61.591953,2135.8857,0.13712981,1.3892854,0.00026016697,None,None,None
2700000,62.388584,2129.6729,0.1418169,1.388899,0.00025960608,13041.099151463646,4495.964285714285,13041.09916469029
2730000,62.599434,2463.257,0.1010968,1.3887795,0.00025931443,12776.465903226286,4496.0,None
2760000,63.20522,2079.9058,0.14363253,1.3885212,0.00025891472,13069.553437948227,4496.0,12923.009582519531
2790000,63.85738,2084.426,0.15504396,1.3882546,0.00025846637,None,None,None
2820000,64.532936,2101.51,0.14929579,1.3879281,0.00025801634,None,None,None
2850000,65.15388,None,None,1.387696,0.00025750606,12848.935224319908,4496.0,12848.93521118164
2880000,65.48491,2137.6453,0.11557914,1.3872169,0.00025701392,13120.771346330643,4496.0,13120.771240234375
2910000,66.14825,2178.625,0.14104311,1.386726,0.00025656563,13177.76010030508,4496.0,13177.760009765625
2940000,66.82862,2149.3494,0.14678513,1.3864042,0.00025611604,None,None,None
2970000,67.58801,2151.5269,0.14025891,1.3858683,0.00025555523,13227.553620747323,4496.0,13227.553676060268
3000000,67.79112,2181.9048,0.11785559,1.385645,0.00025526359,13296.485171794891,4496.0,None
3030000,68.44775,2153.9683,0.13949582,1.3851814,0.00025486381,13330.784348249435,4496.0,13313.635070800781
3060000,69.04797,1298678.5,0.059923757,1.3847758,0.00025441375,-54925.23694071174,2523.0,-54925.238525390625
3090000,69.07204,2146.925,0.13460986,1.3843709,0.00025396544,None,None,None
3120000,69.4775,None,None,1.3841826,0.00025345644,13248.118481836937,4496.0,13248.118448893229
3150000,69.71043,2192.4705,0.113977246,1.3835866,0.00025296304,13424.045334339142,4496.0,13424.045288085938
3180000,70.172195,2177.361,0.13850765,1.3832582,0.00025251118,13431.741764187813,4495.5,13431.741638183594
3210000,70.62593,2208.134,0.13147718,1.3830299,0.00025206513,None,None,None
3240000,71.15635,2200.544,0.14140496,1.3823847,0.00025161807,13401.57048850824,4496.0,13401.570511429398
3270000,71.29775,2232.6414,0.11196229,1.3823751,0.00025137892,None,None,None
3300000,71.779465,2146.96,0.13808942,1.3819658,0.00025091358,13069.452872079797,4496.0,13503.42822265625
3330000,72.24561,2157.5327,0.14669302,1.381452,0.00025038738,13541.45330798626,4496.0,13088.46533203125
3360000,72.732635,2166.852,0.14687419,1.3809141,0.0002499146,None,None,None
3390000,73.18287,None,None,1.3804106,0.00024940554,13378.763483404044,4496.0,13378.763495551215
3420000,73.44062,2249.0508,0.10521722,1.3800927,0.00024891214,13641.127923607826,4496.0,13641.127807617188
3450000,73.95267,2239.7195,0.13988462,1.379741,0.00024846022,13639.109509006143,4496.0,13639.109252929688
3480000,74.426445,2239.076,0.13916466,1.3791516,0.0002480142,None,None,None
3510000,74.984886,2226.4124,0.15752517,1.3787835,0.00024756716,13582.025182074436,4496.0,13582.02510353371
3540000,75.14008,2317.122,0.0993909,1.3787794,0.000247328,None,None,None
3570000,75.62018,2263.8557,0.14407685,1.3785915,0.00024686265,13708.65778645873,4496.0,13637.744140625
3600000,76.09206,2274.9531,0.14996767,1.3780437,0.00024627763,8995.134539961815,2920.5,10589.946695963541
3630000,76.58216,2298.4563,0.13824186,1.3774811,0.00024575752,13779.095257715537,4496.0,None
3660000,77.0367,None,None,1.3772486,0.00024531316,13654.767301917076,4496.0,13774.490460431134
3690000,77.30001,2318.7268,0.10729241,1.3770217,0.00024486333,None,None,None
3720000,77.79864,2290.3164,0.1411591,1.3765794,0.00024440652,13853.184573948383,4495.666666666667,13853.184326171875
3750000,78.27368,2288.0032,0.14275312,1.3762611,0.00024396332,None,None,None
3780000,78.860954,2307.7317,0.13990203,1.3757299,0.00024348468,13851.762997781789,4496.0,13851.76308412905
3810000,79.041794,2330.8801,0.113073885,1.3756548,0.00024323251,None,None,None
3840000,79.54567,2281.4175,0.14248896,1.3750972,0.00024280907,13977.70833492279,4496.0,None
3870000,80.03954,2303.7659,0.13561718,1.3747003,0.0002423555,14023.427856087685,4496.0,14008.188028971354
3900000,80.56097,2349.4673,0.1396231,1.3739494,0.00024191222,None,None,None
3930000,81.06933,None,None,1.3734297,0.00024133522,13913.954875798689,4496.0,13913.954888237848
3960000,81.35173,2384.487,0.10918373,1.3730586,0.00024081244,None,None,None
3990000,81.89142,2387.5474,0.14372462,1.3724276,0.00024035563,14096.360625306765,4496.0,14096.360799153646
4020000,82.40627,2389.2544,0.13489462,1.3717157,0.00023991245,None,None,None
4050000,82.998955,2437.2104,0.13603477,1.3712208,0.00023943372,14254.178810544347,4496.0,14254.178792317709
4080000,83.17456,2473.0854,0.1143697,1.3711857,0.00023918162,None,None,None
4110000,83.71664,2413.2488,0.13859555,1.3708963,0.00023875818,14120.527971744537,4496.0,None
4140000,84.2504,2455.2778,0.12664825,1.370272,0.00023830458,13438.824680724647,4496.0,13666.05908203125
4170000,84.75306,2489.4521,0.14958344,1.3697808,0.00023786137,None,None,None
4200000,85.2376,None,None,1.3694001,0.00023728432,14375.120594492906,4496.0,14375.120596426505
4230000,85.5023,2556.3958,0.120336935,1.3688395,0.00023676151,None,None,None
4260000,86.018234,2603.232,0.14167687,1.3684108,0.0002363047,14339.899460903524,4496.0,14339.899373372396
4290000,86.517624,2658.4631,0.1251816,1.3679427,0.00023586155,None,None,None
4320000,87.12586,2690.2227,0.15937518,1.3673065,0.00023538285,14700.866588624609,4496.0,14700.866552282263
4350000,87.32244,2602.3728,0.14080305,1.3672197,0.00023513066,-6839.290406703949,1062.0,-6839.29052734375
4380000,87.78532,39046.457,0.06334772,1.3665993,0.0002347043,15169.184249281883,4496.0,15169.184448242188
4410000,88.01159,2673.8723,0.14611758,1.3665698,0.00023425056,14897.390118207783,4496.0,14897.39013671875
4440000,88.55354,4459.1045,0.08423451,1.3663716,0.00023368181,14578.242935253185,4464.76,10153.891357421875
4470000,89.08519,2414.2446,0.12471186,1.3662273,0.00023316046,12478.710216335021,4496.0,14671.23564453125
4500000,89.74697,2844.6362,0.11455769,1.3658086,0.00023270358,7552.283583903685,2381.3333333333335,7552.283365885417
4530000,90.29872,2617.9368,0.15871814,1.3653582,0.00023225072,12896.468619258376,3943.25,12896.468589782715
4560000,90.78069,2580.1965,0.15205742,1.3654234,0.00023180852,15540.668960496783,4495.0,15540.6689453125
4590000,91.34119,2449.4978,0.16627479,1.3651465,0.00023127144,13964.539285373758,4496.0,13964.539270574396
4620000,92.002525,2775.918,0.12882218,1.3652743,0.00023097743,-90570.54436851293,2842.0,-90570.54577636719
4650000,92.459465,14609989.0,0.06133291,1.365238,0.00023058472,14686.453959850283,4495.333333333333,14686.454040527344
4680000,92.38656,2714.0232,0.1374217,1.3652791,0.00023010082,15627.166030054912,4495.666666666667,15627.166097005209
4710000,92.6232,2730.3367,0.12800251,1.3650216,0.00022963577,14427.065371029545,4378.0,14427.065216064453
4740000,92.98699,3120.182,0.10430076,1.3644931,0.00022914048,14305.297652507355,4291.047619047619,14305.297600155785
4770000,93.36919,2836.975,0.17497295,1.3644122,0.00022864922,12206.07606829228,3904.8,12206.076049804688
4800000,93.69958,2654.0583,0.18322502,1.364589,0.00022820025,10755.694743018272,3633.8,10755.694750976563
4830000,94.009674,3950.9434,0.10815733,1.3646939,0.00022775361,2319.766539310571,2720.6666666666665,2319.766805013021
4860000,94.25401,52411.52,0.09624784,1.3647529,0.00022725499,14459.779576946841,4404.4,14459.77954711914
4890000,94.61407,3328.7803,0.16342822,1.3646365,0.00022694972,11628.794317106871,3781.3333333333335,11628.794392903646
4920000,94.95723,3121.049,0.15297626,1.3645523,0.00022649895,10782.543323871447,3618.0,10782.543131510416
4950000,95.277115,16350.594,0.066249475,1.36447,0.0002260361,15575.889591855928,4496.0,15575.8896484375
4980000,95.58168,2774.1843,0.16901436,1.3645749,0.00022558277,15825.725990963789,4495.333333333333,15825.726155598959
5010000,95.96129,2375.4834,0.19442087,1.3644092,0.00022508515,13669.65420969224,4295.8421052631575,13669.65424868935
5040000,96.34763,2898.3394,0.14477806,1.3638688,0.0002245925,13047.403187900914,4066.714285714286,13047.403097970146
5070000,96.67005,2771.7898,0.12405979,1.3634641,0.00022415275,14099.307010991732,4495.666666666667,14099.307250976562
5100000,97.007324,2701.5615,0.1552035,1.363055,0.00022370055,12289.8991730595,3557.0,12289.899291992188
5130000,97.374985,2615.2944,0.15421353,1.3626393,0.00022322086,12420.877653531128,4317.470588235294,12420.877553603228
5160000,97.74152,65983.984,0.06723884,1.3624631,0.00022284617,14869.009803347755,4495.75,14869.009704589844
5190000,98.00392,2856.3176,0.1649236,1.362391,0.00022239726,13329.988556164084,4495.75,13329.98861694336
5220000,98.33418,3311.8428,0.099925585,1.3623968,0.00022194844,14105.094994994812,4062.25,14105.094940185547
5250000,98.67024,2808.4575,0.16141684,1.3622572,0.00022149968,15378.879191189422,4495.75,15378.879302978516
5280000,99.068596,2812.9485,0.1456129,1.3616923,0.00022102451,14450.354374784423,4495.9375,14450.354438781738
5310000,99.48695,3321.2698,0.1503207,1.3614184,0.00022054484,13370.362879865523,4340.2,13370.362866210937
5340000,99.82177,8969.7295,0.08489859,1.3613918,0.00022010239,15532.962307496462,4495.666666666667,15532.962280273438
5370000,100.14928,3099.9702,0.15310127,1.3615177,0.00021964729,16364.249261756242,4363.2,16364.249047851563
5400000,100.54484,2806.136,0.14282161,1.361274,0.00021919452,13516.81671423732,4496.0,13516.816748046875
5430000,100.96267,3233.0554,0.15745884,1.3612969,0.00021882543,14576.884567816509,4496.0,14576.884765625
5460000,101.27168,66516.85,0.06145135,1.3612287,0.00021833855,10990.71377852289,3773.6,10990.713696289062
5490000,101.63072,2893.9077,0.20393163,1.3611543,0.00021785693,13995.614516137168,4496.0,14602.07894897461
5520000,102.11647,2898.0708,0.1227943,1.3612305,0.00021739968,11010.985680832528,3523.1666666666665,11090.810106549945
5550000,102.48151,2362.1067,0.11837943,1.3612348,0.00021695247,12830.769893233348,4496.0,12830.769941057477
5580000,102.983475,157820.03,0.09628571,1.3611457,0.00021649025,8000.014109455825,3884.6666666666665,8000.013895670573
5610000,103.434784,3495.3384,0.13495907,1.3611305,0.00021605239,13362.913256526304,4410.0,13362.913146972656
5640000,103.891556,2717.6067,0.15264,1.3610642,0.00021559728,14977.959066726578,4372.833333333333,14977.959228515625
5670000,104.256,5995.547,0.12543528,1.3610804,0.00021512847,13648.04996719053,4273.4,13648.04995320638
5700000,104.70903,3777.1162,0.15269516,1.3609064,0.00021476328,13931.924716263777,3640.5,13931.924713134766
5730000,105.1609,3088.945,0.13949074,1.360607,0.00021430632,16793.15943271791,4495.833333333333,16793.159322102863
5760000,105.70967,3640.7163,0.13543943,1.3604693,0.00021384284,13889.137551709893,3756.0,13889.137664794922
5790000,106.10284,4406.0386,0.1489848,1.3602453,0.00021337009,13941.25526074002,4420.833333333333,13941.255187988281
5820000,106.52097,2661.5547,0.19122863,1.3602339,0.00021290427,15694.999217025703,4496.0,15694.999196370443
5850000,106.98173,3711.378,0.1490585,1.3599122,0.00021243986,14342.386229962809,4495.833333333333,14342.38612874349
5880000,107.35004,3336.4192,0.12299106,1.3600509,0.00021200113,16592.360161171062,4495.75,16592.360397338867
5910000,107.75024,3445.141,0.13299894,1.3597296,0.00021154611,14662.743581423536,4495.833333333333,14662.74365234375
5940000,108.23134,12218.195,0.070437856,1.3595989,0.00021107886,14426.248704746133,4209.714285714285,14426.248639787946
5970000,108.70587,3662.1536,0.12329041,1.3595492,0.00021068941,-3026.5391029975845,3611.0,-3026.5383056640626
6000000,108.70249,1612224.9,0.0903915,1.3595821,0.00021022103,13152.119645187631,4066.1428571428573,13152.11954171317
6030000,109.03489,5022.283,0.13295649,1.359702,0.00020975342,12691.386077531031,3858.75,12691.385932922363
6060000,109.43967,3874.6174,0.14915341,1.3597502,0.00020930135,15654.074206882204,4495.8,15080.418640136719
6090000,109.918846,2836.683,0.16274892,1.3595766,0.00020885952,15441.423529453668,4495.9,15669.357277610085
6120000,110.37304,4125.3413,0.1583126,1.3591716,0.0002083858,16711.65047723231,4495.666666666667,16711.650465223523
