Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
2000,1.4189385,0.00029952027,-0.37003285,2.41657508793287,1497.0,2.4165754318237305
4000,1.4189383,0.00029812558,-0.28707942,6.2349378970393445,1498.0,5.234907627105713
6000,1.4189385,0.0002968206,-0.21358609,18.036751954699866,1498.0,12.635861039161682
8000,1.4189385,0.00029560065,-0.21409278,0.04667143151164055,1498.0,0.04667168855667114
10000,1.4189383,0.00029452558,-0.32523435,-4.875492622493766,1498.0,-2.1582562923431396
12000,1.4189606,0.00029322063,-0.1647587,4.3444017610745504,1498.0,-1.6241645812988281
14000,1.4189606,0.00029200065,-0.119861424,0.3145672243554145,1498.0,0.31456732749938965
16000,1.4189606,0.0002909256,-0.0959512,1.0305717922165059,1498.0,0.7935526967048645
18000,1.4189606,0.00028962063,-0.10156041,-4.516705411486328,1498.0,-1.6245573163032532
20000,1.4189606,0.00028840062,-0.100498974,-4.093012037803419,1498.0,-4.093013286590576
22000,1.4190851,0.00028732562,-0.075123735,-3.453606132767163,1498.0,-8.399254560470581
24000,1.4191266,0.0002860206,-0.06428847,2.4707970548188314,1498.0,1.9814190566539764
26000,1.4191265,0.00028480063,-0.06128414,-0.18406419828534126,1498.0,-0.18406403064727783
28000,1.4191266,0.00028372562,-0.05632335,3.393569825333543,1498.0,4.949902892112732
30000,1.4191266,0.00028242063,-0.06868265,1.5046330213081092,1498.0,1.6709342896938324
32000,1.4190898,0.0002812006,-0.0686847,2.7359902559546754,1498.0,2.7359906435012817
34000,1.4190714,0.00028012562,-0.021844612,-1.5905590412439778,1498.0,-3.653264284133911
36000,1.4190716,0.0002788206,-0.003365078,4.104533509584144,1498.0,2.288340449333191
38000,1.4190716,0.0002776006,0.00020485371,1.8255864238599315,1498.0,1.8255871534347534
40000,1.4190714,0.00027652562,-0.014204938,1.7255889387161005,1498.0,-0.48398685455322266
42000,1.4191364,0.00027522063,-0.022191942,2.8308380062808283,1498.0,3.383001387119293
44000,1.4192336,0.0002740006,-0.01088902,-7.7562839889433235,1498.0,-7.756283283233643
46000,1.4192334,0.00027292565,-0.01190338,-1.0853883713134564,1498.0,-0.006747305393218994
48000,1.4192334,0.0002716206,-0.009639679,0.9531815447844565,1498.0,-0.6054238975048065
50000,1.4192336,0.0002704006,-0.008313263,3.7875830298289657,1498.0,3.7875832319259644
52000,1.4192334,0.00026932562,0.0053168423,-1.3437100816518068,1498.0,3.123048782348633
54000,1.4197962,0.0002680206,-0.01750748,4.740589860943146,1498.0,-0.5349393784999847
56000,1.4197963,0.0002668006,-0.01204511,6.5092280600511,1498.0,6.509229063987732
58000,1.4197962,0.00026572563,-0.00913696,4.480883312702645,1498.0,3.5581904649734497
60000,1.4197962,0.00026448054,-0.0125739975,-9.85773847415112,1306.0,-2.2270805835723877
62000,1.4197962,0.0002633161,-0.0052713347,2.5291887656785548,1497.0,2.5291895866394043
64000,1.419743,0.00026224143,-0.0014599372,5.76170949061634,1498.0,9.03540587425232
66000,1.4197251,0.00026093642,-0.0035710193,4.41731568868272,1498.0,3.452663540840149
68000,1.4197251,0.0002597164,0.0062765265,5.9532752151135355,1498.0,5.953275203704834
70000,1.4197252,0.00025864146,0.005824517,4.590604295677622,1498.0,4.913186073303223
72000,1.4197251,0.00025733642,0.013154323,3.364694987598341,1498.0,3.816358506679535
74000,1.4194634,0.00025611644,0.016348489,10.049692867207341,1498.0,10.04969310760498
76000,1.4193329,0.00025504146,0.024929786,4.5227481937617995,1498.0,4.199238657951355
78000,1.4193329,0.0002537364,0.025697147,3.9544218097580597,1498.0,4.400340065360069
80000,1.4193327,0.0002525164,0.023949638,1.0290144177852198,1498.0,1.0290144085884094
82000,1.4193329,0.0002514414,0.023293579,3.8703161444864236,1498.0,2.456500291824341
84000,1.4193178,0.00025023287,0.03144226,3.247591787338024,1015.0,2.3517412543296814
86000,1.4192724,0.00024891662,0.02082006,8.520605283556506,1498.0,7.798218816518784
88000,1.4192722,0.00024769665,0.020536073,5.798882022034377,1498.0,5.7988821268081665
90000,1.4192721,0.0002466216,0.022300534,5.69713122677058,1498.0,4.214385986328125
92000,1.4192724,0.00024531662,0.02414771,7.9769185815239325,1498.0,7.578397870063782
94000,1.4192722,0.00024409663,0.020685162,6.437617123941891,1498.0,6.43761682510376
96000,1.4192926,0.00024302164,0.027882753,6.742023433485883,1498.0,8.930269241333008
98000,1.4192924,0.00024171663,0.040725023,9.671666896203533,1498.0,7.11272232234478
100000,1.4192927,0.00024049664,0.03943132,10.144256649698946,1498.0,10.144256353378296
102000,1.4192926,0.00023942163,0.042915672,6.372393048659433,1498.0,6.520608425140381
104000,1.4192924,0.00023811664,0.044248525,3.218812954146415,1498.0,4.721495628356934
106000,1.41945,0.00023689665,0.041230466,15.968352723517455,1498.0,15.968352794647217
108000,1.41945,0.00023582163,0.051184654,7.882178763044067,1498.0,10.69275689125061
110000,1.41945,0.00023451667,0.050837908,12.096673844847828,1498.0,8.584137201309204
112000,1.41945,0.00023329664,0.055539425,-3.0731967855244875,1498.0,-3.0731945037841797
114000,1.41945,0.00023222169,0.0503099,6.04250941099599,1498.0,7.606246829032898
116000,1.4195495,0.00023091664,0.049518425,2.8742103461408988,1498.0,3.676491156220436
118000,1.4196157,0.00022969666,0.03690548,11.732347295677755,1498.0,11.732347011566162
120000,1.4196161,0.00022862166,0.041466102,5.84174888425332,1498.0,3.996439754962921
122000,1.4196159,0.00022731662,0.04133557,12.31261627690401,1498.0,9.99983674287796
124000,1.4196157,0.00022609663,0.038573667,18.05494948575506,1498.0,18.05494976043701
126000,1.4195935,0.00022502166,0.040429685,8.806984440539964,1498.0,14.56925344467163
128000,1.4195259,0.00022371663,0.054002356,3.6509178348933347,1498.0,3.3478169441223145
130000,1.419526,0.00022249667,0.05459986,5.359913401363883,1498.0,5.359913110733032
132000,1.4195259,0.00022142167,0.053928796,7.119253147160634,1498.0,6.426811218261719
134000,1.4195259,0.00022011666,0.05487272,9.531486159656197,1498.0,8.671591192483902
136000,1.419526,0.00021889663,0.05347185,7.39190551743377,1498.0,7.391904592514038
138000,1.4194273,0.00021782162,0.04985167,8.285621179631562,1498.0,6.040571391582489
140000,1.4194272,0.00021651668,0.045678187,12.311119945719838,1498.0,11.42089557647705
142000,1.419427,0.00021529666,0.041584484,-72.28164123592433,1498.0,-72.28164577484131
