Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
150000,1.9440436,119.78547,0.16200383,1.4172343,0.00029805003,895.0976757841333,4495.0,895.097682317098
180000,2.4913142,257.00433,0.1122624,1.4172294,0.000297525,None,None,None
210000,3.6924188,321.81668,0.1234819,1.4172269,0.00029707508,None,None,None
240000,5.343202,349.0298,0.16688018,1.4173355,0.00029662502,None,None,None
270000,7.9277806,409.30856,0.16936234,1.4169346,0.000296175,4376.793717776789,4496.0,4360.119887779499
300000,8.636267,None,None,1.4169346,0.00029594958,None,None,4860.334777832031
330000,10.480457,548.16736,0.13756658,1.4168497,0.00029549957,None,None,None
360000,12.125814,497.51163,0.17031907,1.4166406,0.00029504954,None,None,None
390000,13.39781,503.91776,0.17092805,1.4164144,0.00029459962,None,None,None
420000,14.509322,517.51306,0.15416655,1.4163111,0.00029399936,5705.187298590853,4496.0,5705.187278238932
450000,15.109773,698.42255,0.13509487,1.4160736,0.00029347418,None,None,None
480000,16.427814,644.0538,0.15552106,1.4156563,0.00029302412,None,None,None
510000,17.56494,559.60376,0.1502737,1.4158062,0.00029257408,None,None,None
540000,18.706997,604.8422,0.13417818,1.4154993,0.00029212414,6334.5305198054375,4496.0,6322.579328865841
570000,19.029547,None,None,1.4154993,0.00029189867,None,None,6681.1153564453125
600000,19.862701,748.39166,0.13902283,1.4150307,0.0002914486,None,None,None
630000,20.857138,738.73596,0.1763408,1.4150584,0.0002909987,None,None,None
660000,21.825563,754.39954,0.13521275,1.4148871,0.0002905487,None,None,None
690000,22.72449,803.933,0.1514471,1.4144784,0.00028994845,7362.545054513247,4496.0,7362.545077514648
720000,23.13905,921.64294,0.123669855,1.4142698,0.00028942322,None,None,None
750000,23.989164,879.4182,0.1587237,1.4143512,0.00028897315,None,None,None
780000,24.829935,891.7472,0.16341256,1.4142952,0.00028852327,None,None,None
810000,25.790834,881.2935,0.15887569,1.4141816,0.0002879371,259682.39156615938,4488.733333333334,259682.3807047526
840000,26.060307,11646598000.0,0.057459723,1.4141123,0.00028749584,None,None,None
870000,27.397694,230563.28,0.063192435,1.4141115,0.00028704578,29412.388672390953,1980.0,29412.387573242188
900000,27.459692,895.17804,0.1573037,1.4136671,0.00028659587,None,None,None
930000,27.554613,905.20984,0.17685883,1.4133288,0.00028624042,8473.03144803457,4495.0,None
960000,27.65143,None,None,1.4131643,0.00028586213,8189.082121143359,4496.0,8198.873429923222
990000,27.71743,1096.8569,0.122754924,1.412798,0.0002853722,8784.084951080382,4495.0,8784.0849609375
1020000,27.826048,1139.4257,0.1519907,1.4125954,0.0002849223,None,None,None
1050000,27.912512,1179.5933,0.14690138,1.4122161,0.0002844723,None,None,None
1080000,28.013952,1296.4175,0.14590354,1.4119041,0.0002839176,9110.832046510974,4496.0,9110.832055453597
1110000,28.041164,1312.7625,0.124440685,1.411587,0.00028358086,None,None,None
1140000,28.173082,1345.6222,0.15247127,1.4112273,0.00028307468,9516.031930543482,4496.0,9516.0322265625
1170000,28.263313,1459.9473,0.14422147,1.4109336,0.00028254543,None,None,None
1200000,28.437357,1426.3932,0.1448579,1.4106536,0.00028219004,10710.39153684862,4496.0,None
1230000,28.5959,None,None,1.4104978,0.00028181123,9798.049386979937,4496.0,9829.509382576778
1260000,28.697277,1602.0449,0.12919903,1.4102706,0.0002813213,10711.656370282173,4496.0,10711.656372070312
