Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
104000,1.4389144,0.00023820049,-5.66106165613586,3.591743119266055,-0.40124652,-5.663547993253131,10.916866,1.6466503
106000,1.4397109,0.00023700071,-5.425806561264475,3.8260869565217392,-0.41765893,-5.419231343600485,10.96247,1.7898363
108000,1.4401267,0.00023580038,-5.509690559813625,3.5707762557077625,-0.4034413,-5.518008459206313,10.565662,1.6770332
110000,1.44086,0.00023459394,-5.318010343463075,3.590909090909091,-0.41246745,-5.33094792501493,10.628199,1.8080883
112000,1.4414392,0.0002333951,-5.239761381373178,3.8935643564356437,-0.5115321,-5.218168106778424,9.965018,1.5344615
114000,1.441603,0.00023220124,-5.207148538716138,3.712941176470588,-0.43674684,-5.22164066398845,11.012537,1.5502187
116000,1.4420196,0.00023100061,-5.152149874026608,3.6357308584686776,-0.31518295,-5.1375265738941955,10.572943,1.7648282
118000,1.4427341,0.00022980146,-5.562279070390852,3.692488262910798,-0.31677976,-5.558085120969535,11.30046,1.7497069
120000,1.4431663,0.0002286003,-5.255591915855608,3.8081534772182253,-0.27809095,-5.259838934139096,10.86931,1.7658595
122000,1.4435381,0.0002274,-5.066756806558381,3.403973509933775,-0.3842737,-5.078711590493225,10.316243,1.801167
124000,1.4441134,0.0002262011,-5.202044137871029,3.591743119266055,-0.33544317,-5.198974196448786,10.263094,1.7625957
126000,1.4447086,0.00022500117,-5.223470115599967,3.6573426573426575,-0.3840523,-5.208973937934929,10.182513,1.7009605
128000,1.4451153,0.00022380153,-5.161482828159085,3.664335664335664,-0.28821236,-5.178172114220533,10.196745,1.7533368
130000,1.4455504,0.00022260087,-4.94976958562356,3.5374149659863945,-0.34400252,-4.943659133989525,10.121068,1.7174325
132000,1.4458625,0.00022139962,-5.070170906376583,3.5316742081447963,-0.28434262,-5.0647376079904545,10.309057,1.8127943
134000,1.4461145,0.00022019978,-4.934510933647761,3.655011655011655,-0.39790857,-4.945587208429417,9.222839,1.7420036
136000,1.4463606,0.00021900043,-5.011824086811781,3.6212471131639723,-0.44340307,-5.007324325398264,9.318455,1.6754287
138000,1.4467521,0.00021780035,-4.988044641017914,3.44,-0.4132515,-4.987272051109208,9.93507,1.7563626
140000,1.4471437,0.0002165972,-4.9587144139350965,3.6192660550458715,-0.41664332,-4.971321878561733,8.872319,1.7304916
142000,1.4476634,0.00021539314,-4.712266458536241,3.4598214285714284,-0.420235,-4.701030978400793,9.038227,1.7399452
144000,1.4480832,0.00021419776,-4.834890190414018,3.4451901565995526,-0.41775253,-4.832148645148181,9.991971,1.7688752
146000,1.4486471,0.00021300148,-4.807862710203477,3.5374149659863945,-0.3735753,-4.807692135458225,9.295395,1.7491972
