Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
150000,-0.36637628,103.06815,0.14800379,1.4194812,0.00029805003,-393.30490612534214,4495.0,-393.30490182240806
180000,0.05193732,176.88719,0.12210031,1.4192009,0.000297525,None,None,None
210000,0.8654011,209.16693,0.15833296,1.4184686,0.00029707508,None,None,None
240000,2.0461168,319.11136,0.13612266,1.418123,0.00029662502,None,None,None
270000,3.8772976,366.17462,0.13536768,1.4175378,0.000296175,3344.9432357321307,4496.0,3322.282290623106
300000,5.679624,None,None,1.4175378,0.00029594958,None,None,4002.1105346679688
330000,8.041289,480.73026,0.13157389,1.4167517,0.00029549957,None,None,None
360000,11.883013,605.8966,0.12393083,1.4162942,0.00029504954,None,None,None
390000,14.338083,833.4571,0.14448237,1.4159157,0.00029459962,None,None,None
420000,15.714686,1064.3048,0.1557009,1.4156309,0.00029399936,6618.6738033579295,4496.0,6618.673796590169
450000,16.097075,1234.5016,0.14528833,1.4155896,0.00029347418,None,None,None
480000,17.362484,1449.1777,0.1336097,1.4150298,0.00029302412,None,None,None
510000,18.4126,1825.1012,0.11633487,1.4145925,0.00029257408,None,None,None
540000,19.51512,2204.166,0.1516478,1.4139856,0.00029212414,10098.396653334894,4496.0,10064.107356630522
570000,19.944555,None,None,1.4139855,0.00029189867,None,None,11092.785888671875
600000,20.89261,2744.2776,0.12881291,1.4138081,0.0002914486,None,None,None
630000,21.904982,3318.457,0.13208134,1.413285,0.0002909987,None,None,None
660000,22.899513,3787.5327,0.13914579,1.4127827,0.0002905487,None,None,None
690000,23.870996,4408.327,0.14436726,1.4121857,0.00028994845,15094.40868222545,4496.0,15094.408732096354
720000,24.366446,4281.6875,0.14312725,1.4119503,0.00028942322,None,None,None
750000,25.268677,4658.675,0.1508745,1.4119021,0.00028897315,None,None,None
780000,26.222073,4878.858,0.13774833,1.4115078,0.00028852327,None,None,None
810000,27.406841,5553.837,0.12708122,1.4107685,0.0002880732,17789.504385881624,4496.0,17786.914786503232
840000,27.756556,383463.6,0.03735611,1.4107647,0.0002878385,-44754.85237789154,20.0,-13445.125244140625
870000,28.004707,5531.3223,0.1291367,1.4105777,0.00028738836,None,None,None
900000,28.702576,5239.51,0.1697711,1.410211,0.0002869383,None,None,None
930000,29.425457,5884.002,0.1455444,1.409725,0.00028648833,None,None,None
960000,30.085007,None,None,1.4091913,0.00028589522,18791.051902611576,4495.966666666666,18791.051973470054
990000,30.355307,10626.291,0.08484157,1.4088538,0.0002853701,4400.674151420593,1182.0,4400.674255371094
