Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
60000,-1.0475253,108.3266,0.12818326,1.4187677,0.000299342,-832.3923850761494,1858.0,-832.3923950195312
90000,-1.0711455,52.600197,0.1331318,1.4188328,0.00029871304,None,None,None
120000,-0.46737015,72.201935,0.16545236,1.4185941,0.00029829727,68.99855806066844,4495.0,None
150000,0.33240622,None,None,1.4185225,0.00029797503,None,None,68.9985540324244
180000,0.70602155,121.40816,0.16194713,1.4180793,0.00029752398,1858.4329850051436,4495.0,1858.4330368041992
210000,1.4732425,139.56317,0.1625076,1.4176654,0.00029707496,None,None,None
240000,2.4807591,178.28023,0.16923569,1.4177226,0.00029662505,None,None,None
270000,4.262067,212.37828,0.1602771,1.4173163,0.00029608613,2922.6598499037323,4496.0,2922.6598452864023
300000,4.908701,263.39658,0.13349879,1.4172153,0.00029578796,None,None,None
330000,6.3232813,242.17012,0.14701895,1.4168632,0.0002952399,3851.610953220399,4496.0,3851.611053466797
360000,8.012645,222.45686,0.18289675,1.4164981,0.00029466252,None,None,None
390000,8.6956415,224.52289,0.14648263,1.4161366,0.0002942467,3747.3538413141805,4496.0,None
420000,9.755281,None,None,1.4160465,0.00029392412,None,None,3747.3538292194235
450000,10.655865,318.93332,0.15005006,1.4157581,0.00029347307,4926.026797474362,4496.0,4926.02685546875
480000,12.265023,350.25388,0.13653511,1.4157354,0.00029302412,None,None,None
510000,13.716803,338.43933,0.17808913,1.4157606,0.00029257408,None,None,None
540000,14.881883,321.91898,0.1862968,1.4155508,0.00029203517,4595.664415087089,4496.0,4595.664423449286
570000,15.215857,439.42468,0.16238873,1.4155143,0.00029173712,None,None,None
600000,15.812402,492.75903,0.13285433,1.4152044,0.00029118906,5540.87312953826,4496.0,5540.872985839844
630000,16.891928,527.20953,0.17620909,1.4145558,0.00029061167,None,None,None
660000,17.835947,624.21576,0.16914433,1.4143142,0.00029019578,5977.0542353066085,4496.0,None
690000,18.72161,None,None,1.4142678,0.0002898732,None,None,5977.054209742053
720000,19.26411,756.8011,0.12895568,1.4142553,0.00028942217,6939.180285729468,4496.0,6939.18017578125
750000,20.281727,835.5325,0.14092794,1.4141185,0.00028897327,None,None,None
780000,21.259735,866.0856,0.15872103,1.4138926,0.0002885232,None,None,None
810000,22.309187,861.0756,0.1387392,1.4135225,0.00028798432,7489.802013274989,4496.0,7489.802016685749
840000,22.60781,1060.443,0.16160907,1.4133226,0.00028768627,None,None,None
