Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4000,0.039334644,1.4189386,0.0002983752,-1096.4172586114146,2319.0,-1096.4172668457031
6000,0.014617066,1.4189384,0.00029693294,-1786.7054428388365,3475.0,-1786.7054443359375
8000,0.06685827,1.4189383,0.00029561942,None,None,None
10000,0.045356803,1.4189385,0.00029451936,-2204.1969877500087,4495.0,None
12000,-0.6260641,1.418789,0.00029351944,None,None,-2204.197052001953
14000,-1.334944,1.418789,0.00029231943,None,None,None
16000,-1.3234345,1.418789,0.00029093915,-2200.685263273306,4496.0,-2200.6852264404297
18000,-1.3267742,1.418789,0.00028968314,-1752.797435584478,3643.0,None
20000,-1.3440444,1.418789,0.00028863063,None,None,-1752.7974548339844
22000,-1.9761992,1.4187948,0.00028727597,-1673.0986171821132,3411.0,-1673.0986022949219
24000,-2.2834692,1.4187946,0.0002861449,-1098.355774404481,2292.0,None
26000,-2.3118472,1.4187948,0.00028520462,None,None,-1098.3557586669922
28000,-2.27988,1.4187946,0.00028400464,None,None,None
30000,-2.267587,1.4187948,0.00028277282,-1403.8236230181064,2920.5,-2139.8955688476562
32000,-2.4379463,1.4189836,0.0002814471,-387.2476316721489,849.6666666666666,-508.0244394938151
34000,-2.571076,1.4190388,0.00028016404,None,None,-305.4213562011719
36000,-2.5490417,1.4190389,0.00027899496,-1632.1227611601353,3809.0,None
38000,-2.5347853,1.4190388,0.00027787627,None,None,-1632.1227416992188
40000,-2.5548577,1.4190388,0.00027667623,None,None,None
42000,-2.6790378,1.4190694,0.00027529622,-2046.4410040937364,4495.0,-2046.4409484863281
44000,-2.8159964,1.4190769,0.000273937,-875.9763795500621,2088.0,-875.976354598999
46000,-2.8264453,1.419077,0.00027272163,None,None,None
48000,-2.8146892,1.419077,0.00027163854,-1062.723979624454,2638.5,-1803.1529541015625
50000,-2.8885972,1.419077,0.00027075183,None,None,-322.2950134277344
52000,-2.857765,1.4190075,0.00026951844,-905.7414722964168,2074.0,-905.7414398193359
54000,-3.0360425,1.4189327,0.00026820775,-1398.7161776451394,3240.0,-1398.716209411621
56000,-3.0238123,1.4189327,0.00026685727,-600.2993660853244,1564.0,-548.7690734863281
58000,-3.0414467,1.4189329,0.00026576145,-290.8259623516351,572.0,-471.3277893066406
60000,-3.1027856,1.4189324,0.00026473624,None,None,None
