Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
10000,1.4189035,0.0002970079,20.654804620594266,58.06470588235294,0.1234265,20.655122482212338,7.3148446,0.2558003
20000,1.4188238,0.00029099837,21.131105636285888,53.266304347826086,0.6627495,21.10736746373384,6.1308374,0.2784304
30000,1.4188217,0.0002850048,22.57772590689146,53.9010989010989,0.9983264,22.60144892891685,5.4915714,0.31761518
40000,1.418808,0.00027900707,24.409935481321362,53.075675675675676,1.1644101,24.399901080775905,5.7173505,0.32601148
50000,1.4184082,0.00027299678,23.866412011598126,50.94818652849741,1.2193081,23.80628593227406,5.733706,0.346142
60000,1.4176563,0.000266985,23.883635094539514,50.89119170984456,1.2817848,23.83516202272529,6.0312486,0.35005254
70000,1.4173859,0.00026098645,24.487085622473103,47.41747572815534,1.4171972,24.552657432926512,6.410532,0.39856082
80000,1.4171885,0.0002550047,25.52097658089447,48.10344827586207,1.4238765,25.538441218766085,7.1537,0.40314272
90000,1.416932,0.00024900827,26.0831562204422,46.02347417840375,1.5170317,26.081512695187133,7.3188434,0.43951857
100000,1.4165052,0.00024299815,27.402720496684957,46.48341232227488,1.600231,27.395812784890992,8.322839,0.47233173
110000,1.4161749,0.00023698446,26.528530386344453,45.4212962962963,1.5864229,26.47414794674626,7.7043376,0.44911993
120000,1.4155974,0.00023099004,26.721121314635408,44.87096774193548,1.643792,26.813797249772033,8.291269,0.43551117
130000,1.4152702,0.0002249979,27.222024079931103,46.71904761904762,1.6772176,27.24248972620283,8.580249,0.4172596
140000,1.4148662,0.00021899908,26.635394699315274,46.04716981132076,1.8311733,26.595780515445853,7.210043,0.41972357
150000,1.4146116,0.00021300626,26.697824876291847,42.65502183406114,1.9746119,26.708140531481614,7.4891486,0.49079657
160000,1.4145255,0.00020699811,27.82807029399499,47.492753623188406,1.8983573,27.77470554188254,8.374768,0.4148853
170000,1.4142661,0.00020099981,28.99892857586139,48.06896551724138,2.0170083,29.021109510525108,7.693488,0.39534226
180000,1.4140279,0.00019499884,27.680447036790834,45.674418604651166,2.2048173,27.594744759936667,7.3511996,0.4236156
190000,1.4138666,0.00018900303,29.047294081821747,47.33009708737864,2.2284226,29.164008464628054,7.080426,0.39650056
200000,1.4135267,0.0001830008,29.217660197430238,46.39150943396226,2.3332784,29.125759336183656,7.316316,0.40795425
210000,1.4133245,0.00017699803,30.254714800562738,49.33838383838384,2.2671235,30.332220482103754,7.389717,0.34765518
220000,1.4130757,0.0001710084,29.780950455876468,48.24630541871921,2.4035072,29.756367791462413,7.1918077,0.3964972
230000,1.412757,0.00016500625,29.75761230032952,45.76168224299065,2.4889114,29.812587131963713,7.402005,0.41738558
240000,1.4124554,0.00015899686,30.768059655602407,48.64356435643565,2.4885464,30.708394371637024,7.4975553,0.40322766
250000,1.412224,0.00015300035,28.869027196163753,45.9622641509434,2.655398,28.906002152640866,6.8831086,0.37507275
260000,1.4121739,0.00014701286,32.70125911947848,52.55080213903744,2.558321,32.71917405357973,6.33849,0.3518322
270000,1.4121538,0.00014100948,30.489751189326245,47.2512077294686,2.801159,30.480574879669337,6.9992657,0.33089137
280000,1.4119568,0.00013501265,31.173506183952583,48.77114427860697,2.744423,31.179635517632782,6.910994,0.3677985
290000,1.4118133,0.00012900858,31.420879201091815,46.65714285714286,2.9164732,31.24659691765195,7.304851,0.35845268
300000,1.4117355,0.00012299108,31.486767146497307,48.02439024390244,2.9503906,31.48403518955882,6.6875944,0.36055127
310000,1.411616,0.00011698378,32.64797668476269,49.39393939393939,2.9994297,32.66692568075777,7.0322623,0.34258994
320000,1.4114746,0.00011098578,32.94380541101214,49.065,3.0148644,33.028635330200196,7.426167,0.34362894
330000,1.4112642,0.00010498655,32.74594330340555,48.43564356435643,3.0501823,32.6240551259258,6.8608775,0.33133453
340000,1.411216,9.899197e-05,31.594045059737535,47.03846153846154,3.1048,31.729315500992996,6.9598875,0.34517744
350000,1.411137,9.300086e-05,30.964889442636544,45.175925925925924,3.202478,31.021842921221698,6.7003508,0.34824705
360000,1.4109885,8.699989e-05,33.213933381058744,49.185,3.189382,33.03306052207947,6.781055,0.3132211
370000,1.4108685,8.0981335e-05,33.522461287606525,48.127450980392155,3.22369,33.53451568005132,6.926844,0.35766777
380000,1.4108618,7.4992975e-05,31.508833981084443,45.2093023255814,3.2712567,31.65338415101517,7.171608,0.33202195
